INFO | 2026-02-19 11:51:17 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 20:55:01 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:01:14 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:01:14 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:01:15 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:01:16 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:03:37 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:03:37 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:03:39 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:03:39 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:03:45 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:03:46 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:03:47 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:03:48 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:03:51 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:03:52 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:03:55 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:03:55 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:03:59 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:03:59 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:04:02 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:04:02 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:04:03 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/templatetags/plot_extras.py changed, reloading.
INFO | 2026-02-19 21:04:04 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:32:13 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:48:46 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 21:48:47 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:48:57 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 21:48:58 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:53:18 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views_admin.py changed, reloading.
INFO | 2026-02-19 21:53:19 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:56:14 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 21:56:15 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:56:16 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 21:56:17 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 21:59:45 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views_admin.py changed, reloading.
INFO | 2026-02-19 21:59:46 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:13:41 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views_admin.py changed, reloading.
INFO | 2026-02-19 22:13:42 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:14:34 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views_admin.py changed, reloading.
INFO | 2026-02-19 22:14:35 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:15:22 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 22:15:22 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:15:25 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 22:15:25 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:16:45 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 22:16:46 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:17:46 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 22:17:46 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:18:12 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 22:18:13 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:18:16 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 22:18:17 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:18:21 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 22:18:21 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:18:39 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 22:18:40 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:21:34 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 22:21:35 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:21:43 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 22:21:44 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:28:19 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 22:28:19 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:28:24 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 22:28:24 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:43:51 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views_admin.py changed, reloading.
INFO | 2026-02-19 22:43:51 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 22:43:56 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views_admin.py changed, reloading.
INFO | 2026-02-19 22:43:56 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:06:20 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views_admin.py changed, reloading.
INFO | 2026-02-19 23:06:21 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:10:13 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:10:14 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:10:24 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:10:25 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:10:29 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:10:29 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:10:50 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:10:50 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:10:56 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:10:56 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:25:21 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/models.py changed, reloading.
INFO | 2026-02-19 23:25:22 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:25:23 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/models.py changed, reloading.
INFO | 2026-02-19 23:25:24 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:25:25 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/models.py changed, reloading.
INFO | 2026-02-19 23:25:25 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:25:35 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/models.py changed, reloading.
INFO | 2026-02-19 23:25:36 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:25:37 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/models.py changed, reloading.
INFO | 2026-02-19 23:25:38 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:30:05 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:30:06 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:30:18 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:30:18 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:30:32 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:30:32 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:30:45 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:30:45 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:31:10 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:31:10 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:31:17 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:31:18 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:31:21 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/verification_service.py changed, reloading.
INFO | 2026-02-19 23:31:22 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:32:09 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 23:32:10 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:32:19 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 23:32:19 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:33:49 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views_admin.py changed, reloading.
INFO | 2026-02-19 23:33:50 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:34:05 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 23:34:06 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:34:11 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/urls.py changed, reloading.
INFO | 2026-02-19 23:34:11 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:35:43 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/listings/views.py changed, reloading.
INFO | 2026-02-19 23:35:44 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:39:29 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/agriplot/settings.py changed, reloading.
INFO | 2026-02-19 23:39:29 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:55:10 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/agriplot/settings.py changed, reloading.
INFO | 2026-02-19 23:55:10 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
INFO | 2026-02-19 23:55:20 | django.utils.autoreload | autoreload | 265 | /home/createch/Documents/PROJECT/agriplot/agriplot/settings.py changed, reloading.
INFO | 2026-02-19 23:55:20 | django.utils.autoreload | autoreload | 667 | Watching for file changes with StatReloader
