INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 702 | User: juma (ID: 17)
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 703 | IP Address: 127.0.0.1
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 704 | User Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 710 | User type - Agent: True, Landowner: False
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 739 | Processing POST request for plot creation
DEBUG | 2026-02-19 09:07:02 | listings.views | views | add_plot | 740 | POST data: {'title': 'New Plot for Lease', 'county': 'Kericho', 'subcounty': 'Belgut', 'location': '', 'area': '2', 'listing_type': 'lease', 'land_type': 'agricultural', 'land_use_description': 'Agriculture', 'sale_price': '', 'lease_price_monthly': '', 'lease_price_yearly': '12000', 'lease_duration': 'seasonal', 'lease_terms': 'ertyui', 'soil_type': 'Sandy', 'ph_level': '4', 'crop_suitability': 'Maize, Beans, Vegetables', 'has_water': 'on', 'water_source': 'borehole', 'has_electricity': 'on', 'electricity_meter': 'on', 'has_road_access': 'on', 'road_type': 'tarmac', 'road_distance_km': '2', 'has_buildings': 'on', 'building_description': 'wertyuio', 'fencing': 'full', 'latitude': '-1.29', 'longitude': '36.8219'}
DEBUG | 2026-02-19 09:07:02 | listings.views | views | add_plot | 741 | FILES uploaded: ['title_deed', 'official_search', 'landowner_id_doc', 'kra_pin', 'soil_report']
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 747 | Selected County: Kericho
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 748 | Selected Sub-county: Belgut
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 764 | Owner set as Agent: 1
INFO | 2026-02-19 09:07:02 | listings.views | views | add_plot | 776 | PlotForm initialized successfully
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 603 | Validating location - County: Kericho, Subcounty: Belgut
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 636 | Generated location: Kericho - Belgut
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 645 | Set agent owner: 1
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 662 | Validating listing type: lease
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 663 | Sale price: None, Lease monthly: None, Lease yearly: 12000
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 711 | Validating document: title_deed, Size: 63969 bytes
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 711 | Validating document: soil_report, Size: 102150 bytes
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 711 | Validating document: official_search, Size: 109825 bytes
DEBUG | 2026-02-19 09:07:02 | listings.forms | forms | clean | 711 | Validating document: landowner_id_doc, Size: 101094 bytes
